State,Year,Month,Day,Rainfall (mm)
Johor,2015,12,10,0.55
Johor,2015,12,11,1.38
Johor,2015,12,12,0.87
Johor,2015,12,13,0.16
Johor,2015,12,14,6.38
Johor,2015,12,15,9.91
Johor,2015,12,16,1.59
Johor,2015,12,17,2.03
Johor,2015,12,18,11.73
Johor,2015,12,19,3.97
Johor,2015,12,20,1.64
Johor,2015,12,21,1.63
Johor,2015,12,22,1.33
Johor,2015,12,23,2.36
Johor,2015,12,24,7.15
Johor,2015,12,25,5.26
Johor,2015,12,26,1.61
Johor,2015,12,27,0.56
Johor,2015,12,28,0.10
Johor,2015,12,29,0.35
Johor,2015,12,30,0.71
Johor,2015,12,31,1.31
Johor,2016,1,1,0.32
Johor,2016,1,2,0.10
Johor,2016,1,3,0.04
Johor,2016,1,4,0.04
Johor,2016,1,5,0.13
Johor,2016,1,6,0.07
Johor,2016,1,7,0.12
Johor,2016,1,8,0.68
Johor,2016,1,9,1.56
Johor,2016,1,10,0.44
Johor,2016,1,11,0.07
Johor,2016,1,12,0.16
Johor,2016,1,13,0.70
Johor,2016,1,14,1.52
Johor,2016,1,15,2.02
Johor,2016,1,16,1.52
Johor,2016,1,17,0.63
Johor,2016,1,18,0.22
Johor,2016,1,19,0.62
Johor,2016,1,20,1.48
Johor,2016,1,21,1.09
Johor,2016,1,22,0.79
Johor,2016,1,23,0.52
Johor,2016,1,24,0.27
Johor,2016,1,25,0.18
Johor,2016,1,26,0.47
Johor,2016,1,27,0.52
Johor,2016,1,28,1.78
Johor,2016,1,29,2.62
Johor,2016,1,30,1.55
Johor,2016,1,31,1.65
Johor,2016,2,1,2.10
Johor,2016,2,2,0.75
Johor,2016,2,3,0.75
Johor,2016,2,4,0.12
Johor,2016,2,5,0.09
Johor,2016,2,6,0.10
Johor,2016,2,7,0.08
Johor,2016,2,8,0.23
Johor,2016,2,9,0.12
Johor,2016,2,10,0.04
Johor,2016,2,11,0.04
Johor,2016,2,12,0.03
Johor,2016,2,13,0.01
Johor,2016,2,14,0.02
Johor,2016,2,15,0.03
Johor,2016,2,16,0.36
Johor,2016,2,17,0.55
Johor,2016,2,18,1.75
Johor,2016,2,19,4.11
Johor,2016,2,20,2.50
Johor,2016,2,21,2.90
Johor,2016,2,22,4.16
Johor,2016,2,23,2.97
Johor,2016,2,24,2.19
Johor,2016,2,25,2.17
Johor,2016,2,26,2.89
Johor,2016,2,27,0.21
Johor,2016,2,28,1.37
Johor,2016,2,29,1.95
Johor,2016,3,1,7.93
Johor,2016,3,2,11.62
Johor,2016,3,3,14.69
Johor,2016,3,4,5.43
Johor,2016,3,5,0.82
Johor,2016,3,6,0.42
Johor,2016,3,7,0.76
Johor,2016,3,8,0.46
Johor,2016,3,9,0.14
Johor,2016,3,10,0.05
Johor,2016,3,11,0.07
Johor,2016,3,12,0.06
Johor,2016,3,13,0.24
Johor,2016,3,14,0.36
Johor,2016,3,15,0.23
Johor,2016,3,16,0.10
Johor,2016,3,17,0.14
Johor,2016,3,18,0.20
Johor,2016,3,19,0.06
Johor,2016,3,20,0.03
Johor,2016,3,21,0.03
Johor,2016,3,22,0.01
Johor,2016,3,23,0.00
Johor,2016,3,24,0.01
Johor,2016,3,25,0.05
Johor,2016,3,26,0.07
Johor,2016,3,27,0.38
Johor,2016,3,28,0.37
Johor,2016,3,29,0.03
Johor,2016,3,30,0.01
Johor,2016,3,31,0.02
Johor,2016,4,1,0.03
Johor,2016,4,2,0.04
Johor,2016,4,3,0.14
Johor,2016,4,4,0.07
Johor,2016,4,5,0.03
Johor,2016,4,6,0.57
Johor,2016,4,7,0.02
Johor,2016,4,8,0.06
Johor,2016,4,9,1.99
Johor,2016,4,10,4.71
Johor,2016,4,11,2.20
Johor,2016,4,12,1.35
Johor,2016,4,13,0.37
Johor,2016,4,14,0.15
Johor,2016,4,15,0.05
Johor,2016,4,16,0.02
Johor,2016,4,17,0.00
Johor,2016,4,18,0.00
Johor,2016,4,19,0.00
Johor,2016,4,20,0.04
Johor,2016,4,21,0.11
Johor,2016,4,22,0.03
Johor,2016,4,23,0.00
Johor,2016,4,24,0.00
Johor,2016,4,25,0.00
Johor,2016,4,26,0.00
Johor,2016,4,27,0.01
Johor,2016,4,28,0.00
Johor,2016,4,29,0.02
Johor,2016,4,30,0.00
Johor,2016,5,1,0.12
Johor,2016,5,2,0.46
Johor,2016,5,3,0.00
Johor,2016,5,4,0.01
Johor,2016,5,5,0.09
Johor,2016,5,6,0.00
Johor,2016,5,7,0.07
Johor,2016,5,8,0.02
Johor,2016,5,9,0.00
Johor,2016,5,10,0.00
Johor,2016,5,11,0.00
Johor,2016,5,12,0.00
Johor,2016,5,13,0.05
Johor,2016,5,14,0.48
Johor,2016,5,15,0.25
Johor,2016,5,16,0.54
Johor,2016,5,17,0.24
Johor,2016,5,18,0.19
Johor,2016,5,19,0.01
Johor,2016,5,20,0.00
Johor,2016,5,21,0.00
Johor,2016,5,22,0.00
Johor,2016,5,23,0.00
Johor,2016,5,24,0.00
Johor,2016,5,25,0.00
Johor,2016,5,26,0.00
