State,Year,Month,Day,Rainfall (mm)
Johor,2016,5,26,5.76
Johor,2016,5,27,10.85
Johor,2016,5,28,6.73
Johor,2016,5,29,13.06
Johor,2016,5,30,15.65
Johor,2016,5,31,3.48
Johor,2016,6,1,1.60
Johor,2016,6,2,3.33
Johor,2016,6,3,9.67
Johor,2016,6,4,20.82
Johor,2016,6,5,15.79
Johor,2016,6,6,1.25
Johor,2016,6,7,3.39
Johor,2016,6,8,1.01
Johor,2016,6,9,0.37
Johor,2016,6,10,2.57
Johor,2016,6,11,2.61
Johor,2016,6,12,1.40
Johor,2016,6,13,0.58
Johor,2016,6,14,0.35
Johor,2016,6,15,0.37
Johor,2016,6,16,0.89
Johor,2016,6,17,1.32
Johor,2016,6,18,1.09
Johor,2016,6,19,1.00
Johor,2016,6,20,1.94
Johor,2016,6,21,0.82
Johor,2016,6,22,1.47
Johor,2016,6,23,3.99
Johor,2016,6,24,3.53
Johor,2016,6,25,4.53
Johor,2016,6,26,6.77
Johor,2016,6,27,3.69
Johor,2016,6,28,3.04
Johor,2016,6,29,1.84
Johor,2016,6,30,1.96
Johor,2016,7,1,1.17
Johor,2016,7,2,0.62
Johor,2016,7,3,0.62
Johor,2016,7,4,2.46
Johor,2016,7,5,4.15
Johor,2016,7,6,3.43
Johor,2016,7,7,1.72
Johor,2016,7,8,3.10
Johor,2016,7,9,0.84
Johor,2016,7,10,2.25
Johor,2016,7,11,2.07
Johor,2016,7,12,1.69
Johor,2016,7,13,6.40
Johor,2016,7,14,4.75
